publisher,total_global_sales,game_count,avg_sales_per_game,median_sales_per_game,active_years,platform_count,genre_count,avg_market_share_pct,high_success_rate
Astragon,0.65,20,0.08125,0.045,10,3,5,0.03522328856123978,0
Avalon Interactive,0.65,11,0.09285714285714286,0.07,7,5,5,0.17993366336352937,0
Media Rings,0.65,12,0.21666666666666667,0.19,9,4,7,0.1686569024975894,0
Sting,0.65,13,0.07222222222222223,0.09,8,8,1,0.030895630903095973,0
Wanadoo,0.65,18,0.13,0.02,5,7,6,0.04833878094500665,0.2
Elf,0.64,6,0.32,0.32,5,2,3,0.13901111793442864,0
Foreign Media Games,0.64,14,0.04923076923076923,0.03,2,2,4,0.09790124212200942,0
Outright Games,0.63,29,0.042,0.04,6,6,6,0.2786058615408638,0
Seta Corporation,0.63,33,0.105,0.08,13,8,10,0.2423136186323433,0
Universal Gamex,0.63,1,0.63,0.63,1,1,1,1.1136644864769312,1
CBS Electronics,0.62,13,0.31,0.31,4,2,2,0.750184345856862,0
TDK Core,0.62,29,0.124,0.16,9,4,7,0.03650873246799442,0
Wizard Video Games,0.62,1,0.62,0.62,1,1,1,1.0959872724058688,1
Nighthawk Interactive,0.61,16,0.04066666666666667,0.04,3,5,6,0.13137499171015074,0
U.S. Gold,0.61,76,0.08714285714285715,0.1,11,17,11,0.15190662989200668,0
PlayV,0.6,8,0.1,0.12,3,2,4,0.06416549586879786,0
Nordcurrent,0.5900000000000001,28,0.08428571428571428,0.05,7,9,7,0.02130362863577924,0
VU Games,0.5900000000000001,31,0.08428571428571428,0,7,7,8,0.06953150341335318,0.14285714285714285
Asylum Entertainment,0.59,7,0.09833333333333334,0.07500000000000001,2,4,4,0.06992023165232517,0
ESP,0.59,19,0.118,0.05,10,7,8,0.07826763674532354,0.2
Kalypso,0.59,16,0.09833333333333333,0.01,7,4,7,0.05206743080847079,0
FuRyu Corporation,0.58,25,0.030526315789473683,0.02,9,6,7,0.06288804617006048,0
Vatical Entertainment,0.58,20,0.09666666666666666,0.09,4,5,8,0.14165463151006336,0
NEC,0.5700000000000001,101,0.14250000000000002,0.14,13,6,12,0.16772986140332943,0
AQ Interactive,0.53,11,0.06625,0.025,5,5,4,0.02357264164668055,0
Irem Software Engineering,0.53,73,0.033125,0.025,17,11,10,0.009893450185420559,0
Rebellion,0.53,15,0.1325,0.02,8,7,3,0.036709730265442414,0.25
BPS,0.52,2,0.26,0.26,2,2,2,0.5768207795127234,0
CDV Software Entertainment,0.52,53,0.03058823529411765,0.01,12,5,8,0.013173239429851196,0
The Adventure Company,0.52,52,0.030588235294117645,0,9,5,3,0.031086391328052947,0
Rooster Teeth Games,0.51,3,0.17,0.17,1,3,1,0.3446877534468775,0
